Rk,Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,Save%,SoTA,Tkl,TklW,Blocks,Cmp%,KP
1,Manchester City,27,5,6,83,32,51,86,73.3,31.3,73,89,554,365,438,88.3,439
2,Manchester Utd,21,11,6,73,44,29,74,60.2,42.2,70.4,135,590,371,608,84.2,402
3,Liverpool,20,9,9,68,42,26,69,72.6,45.4,72.3,137,560,358,504,84.3,444
4,Chelsea,19,10,9,58,36,22,67,64,32.8,68,103,676,414,582,86.1,443
5,Leicester City,20,6,12,68,50,18,66,56,47.7,65.7,134,734,445,605,81.3,347
6,West Ham,19,8,11,62,47,15,65,54,48.3,69.2,143,559,346,603,76.6,331
7,Tottenham,18,8,12,68,45,23,62,54.6,49.5,75.7,144,692,423,582,81.2,307
8,Arsenal,18,7,13,55,39,16,61,53.5,44.3,71.1,128,510,315,562,83.6,323
9,Leeds United,18,5,15,62,54,8,59,57.5,62.9,75.7,189,826,493,577,79.8,390
10,Everton,17,8,13,47,48,-1,59,47,51.2,71.5,158,685,426,669,80.4,297
11,Aston Villa,16,7,15,55,46,9,55,53,52.9,76.8,177,590,358,603,77.2,399
12,Newcastle Utd,12,9,17,46,62,-16,45,40.9,53.9,67.6,179,608,364,641,74.7,272
13,Wolves,12,9,17,36,52,-16,45,39.9,45.9,68.8,144,618,398,539,81.6,346
14,Crystal Palace,12,8,18,41,66,-25,44,32.5,57.6,63.6,173,694,387,659,75.5,248
15,Southampton,12,7,19,47,68,-21,43,42.4,54.3,64.5,169,784,455,624,78.7,288
16,Brighton,9,14,15,40,46,-6,41,51.6,37.7,65.8,117,664,415,579,80.2,349
17,Burnley,10,9,19,33,55,-22,39,39.6,57.8,70.9,179,562,320,650,70.8,267
18,Fulham,5,13,20,27,53,-26,28,40.5,53,72,164,672,416,568,80.5,335
19,West Brom,5,11,22,35,76,-41,26,33.8,67.7,70.6,235,662,397,679,71.4,230
20,Sheffield Utd,7,2,29,20,63,-43,23,31.5,62,70.7,205,669,369,628,76.1,245
